"key","EN","FR"
"jouer","Play","Jouer"
"langage","Language","Langage"
"quitter","Quit","Quitter"
"designers","A game made by Benjamin Billard and Clément Debert","Un jeu fait par Clément Debert et Benjamin Billard"
"retour","Back","Retour"
"tuto_minijeu","Slide to modify camera angle @ Pinch to zoom @ Find the good camera angle to complete the puzzle","Glissez pour modifier l'angle de caméra @ Pincez pour zoomer @ Trouvez le bon angle de caméra pour compléter le puzzle"
"angle","Angle and shape to reproduce","Angle et forme à reproduire"
"continuer","Continue >>","Continuer >>"
"tuto_ombre","Slide finger along screen to change object rotation @ Find the good rotation to reproduce shadow","Glissez le doigt sur l'écran pour changer la rotation de l'objet @ Trouvez la bonne rotation pour reproduire l'ombre"
"inventaire","Inventory","Inventaire"
"appuyer","Touch to read","Appuyez pour lire"
"parchemin1_texte","God, creator of an eternal world and angels, among them a fallen and rebellious one, the devil. This one built in its fall a material world and locked up the angels in bodies of flesh. @ @ Jesus, son of God, was sent to deliver to men the key of their salvation. He came to wake fallen souls from their slumber, offer them a model of life and kindle the divine sparks buried in everyone's body. @ @ Therefore, every good believer will perform his consolamentum, his baptism and will become a perfect one by pledging allegiance to the salvation of souls, assured for everyone. @ @ Immediately, they will have to work with their hands for the common good, refuse a meat diet and take wishes of abstinence while constantly being accompanied by a partner of the same sex.","Dieu est le créateur d’un monde éternel et des anges, parmi eux un ange déchu et rebelle, le diable. Celui-ci construisit, dans sa chute, un monde matériel et enferma les anges dans des corps de chair. @ @ Jésus, fils de Dieu, fut envoyé pour délivrer aux hommes la clef de leur salut. Il est venu tirer les âmes déchues de leur sommeil, leur proposer un modèle de vie et en attiser les étincelles divines enfouies dans le corps de chacun. @ @ Par conséquent, tout bon croyant effectuera son consolamentum, son baptême et deviendra un parfait en prêtant allégeance au salut des âmes, assuré pour chacun. @ @ Aussitôt, ils se devront de travailler de leurs mains pour le bien commun, refuseront une alimentation carnée et feront voeux d’abstinence en étant constamment accompagné d’un partenaire du même sexe. "
"fermer","Touch text to close","Appuyez sur le texte pour quitter"
"parchemin2_texte","Hugues des Arcis, Seneschal of Carcassonne, @ @ That is enough ! It is time to end this and send a powerful message, as powerful as the Church. @ @After having rejected all the fundamental Christian principles such as communion, mass, marriage, funerals and above all having blasphemed the redemptive sacrifice of Jesus. On April 28, 1242, a handful of heretics from Montségur murdered inquisitors in Avignonet. @ We must bring back the faith of these heretics whatever the cost. @ @ I appeal to the Seneschal of Carcassonne, Hugues des Arcis, to send 5,000 men to battle in order to fight the heretics of what the Bézier canal describes as the synagogue of satan. @ @ It is up to you to convert them by all means, if that proves impossible, burn them alive! @ @ The Church thanks you, @ Innocent Pope III.","Hugues des Arcis, Sénéchal de Carcassonne, @ @ C’en est assez ! Il est grand temps d’en finir et d’envoyer un message puissant, aussi puissant que l’Eglise. @ @ Après avoir rejeté tous les principes fondamentaux chrétiens comme la communion, la messe, le mariage, les obsèques et surtout avoir blasphémé le sacrifice rédempteur de Jésus. Le 28 Avril de l’an 1242, une poignée d'hérétiques de Montségur a assassiné des inquisiteurs à Avignonet. @ Il faut ramener la foi de ces hérétiques quoi qu’il en coûte. @ @ J’en fais appel au Sénéchal de Carcassonne, Hugues des Arcis, d’envoyer 5000 hommes au combat afin de combattre les hérétiques de ce que le canal de bézier qualifie de synagogue de satan. @ @ Je vous incombe de les convertir par tous les moyens, si cela s'avère impossible, brûlez-les vifs ! @ @ L’Eglise vous en remercie, @ Pape innocent III."
"2044","Montségur, september 2043","Montségur, septembre 2043"
"1243","Montségur, september 1243","Montségur, september 1243"
"1244","Montségur, march 15th, 1244","Montségur, 15 mars 1244"
"nom_dialogue1","Celestin the Good Christian","Célestin le parfait"
"lvl1","Tap to move cathars @ Stay far from the guards","Toucher pour déplacer les cathares @ Restez loin des gardes"
"reprendre","Resume","Reprendre"
"end","Thanks to you, the cathars managed to flee with the treasure. Later, trace of 3 of them will be found in Lombardy, where other Cathar communities have been recensed, and certainly where they reinvested this treasure","Grâce à vous, les 4 cathares ont pu s’enfuir avec le trésor. Plus tard la trace de 3 des 4 en Lombardie, où d'autres communautés cathares étaient présentes, et où ils ont très probablement réinvesti ce trésor"
"lvl2","Hide from the guards thanks to the bushes","Cachez vous des gardes grâce aux buissons"
"dialogue1","The catholic Church wants to take our mountain, our home, and wants our lives. Our lord Raymond of Péreille assures us that everything will be fine, that this will never happen. Montségur will not end like this. @ @ But today, I'm worried about Pierre-Roger de Mirepoix, he left early in the morning to find food supplies with his militia. @ The battle with the inquisition began 4 months ago and we didn’t think that it would last that long. ","L'Église catholique souhaite assiéger notre mont, détruire nos maisons et nous prendre nos vie. Notre seigneur Raymond de Péreille nous a assuré que tout irait bien, que, lui vivant, cela n’arriverait pas. Que Montségur ne peut finir ainsi. @ @ Mais aujourd’hui, je suis plus inquiet du sort de mon cher Pierre-Roger de Mirepoix, le bon est parti depuis l’aube pour aller chercher du ravitaillement avec sa milice. @ Il est vrai que depuis que le siège à débuté il y a 4 mois déjà, nous ne nous attendions pas à ce qu’il puisse durer autant. "
"nom_dialogue2","Béatris the villager","Béatris la villageoise"
"dialogue2","We have to move all of the village treasury, the inquisition must not take our wealth. It was moved days ago to a safer place. They lost some coins on their way, which must have pleased some lucky people. I already found one near the tower. ","Nous allons devoir déplacer toute la trésorerie du village, il ne manquerait plus que l’inquisition nous dérobe nos richesses. Celles-ci ont été déplacées il y a quelques jours dans un lieux plus sûr. Ils ont perdu quelques pièces sur leurs passages, cela fera surement quelques heureux. j’en ai déjà trouvé une au vers la tour."
"sub_1_0","Not too exhausted from all the climbing ? Welcome to the Castle of Montségur ! Well, what's left of it... I hope you will find interesting remains, it seems like it's a place full of history. ""","Pas trop épuisé par la montée ? Bienvenue au château de Montségur ! Enfin plutôt ce qu’il en reste... J’espère que tu trouveras des vestiges intéressants, il parait que c’est un lieu gorgé d’histoire."
"sub_1_1","Oh! I was about to forget, I added a new module to your watch which will allows you to do more advanced researches. Good hunt !","Ah et oui j’allais oublier, j’ai ajouté un nouveau module à ta montre qui te permettra de faire des recherches un peu plus poussées. Bonne chasse !"